Retailer,Name,Street,City,State,Zip,Quick Draw,Latitude,Longitude,Georeference
113775,SHOPRITE OF ELMSFORD #199,320 SAW MILL RIVER ROAD,ELMSFORD,NY,10523,Y,41.06668,-73.81268,POINT (-73.81268 41.06668)
113771,7-ELEVEN #34673B,1671 ROUTE 112,CORAM,NY,11727,,40.901713,-73.022889,POINT (-73.022889 40.901713)
113765,7-ELEVEN #39557H,210 MASTIC BEACH RD,MASTIC BEACH,NY,11951,Y,40.77918,-72.848181,POINT (-72.848181 40.77918)
113750,AMG RETAIL I LLC AMG #123,20 KENSICO RD,THORNWOOD,NY,10594,,41.123685,-73.780673,POINT (-73.780673 41.123685)
113740,MIKE'S LIQUOR NY INC,4605 FORT HAMILTON PARKWAY,BROOKLYN,NY,11219,,40.639769,-73.995588,POINT (-73.995588 40.639769)
113737,APPLE MART INC,235 N GRAND ST,COBLESKILL,NY,12043,,42.678164,-74.486013,POINT (-74.486013 42.678164)
113734,7-ELEVEN #18249F,266 HOOKER AVENUE,POUGHKEEPSIE,NY,12603,Y,41.686051,-73.910162,POINT (-73.910162 41.686051)
113716,PINEWOOD COUNTRY CLUB,1189 OGDEN PARMA TOWN LINE RD,SPENCERPORT,NY,14559,Y,43.205869,-77.866011,POINT (-77.866011 43.205869)
113711,7-ELEVEN #35162J,2458 DELAWARE DR.,BUFFALO,NY,14216,Y,42.951156,-76.868832,POINT (-76.868832 42.951156)
113710,7-ELEVEN #35233J,1490 SHERIDAN DR,BUFFALO,NY,14217,Y,42.9816,-78.87917,POINT (-78.87917 42.9816)
113708,7-ELEVEN #40416A,4949 TRANSIT RD,DEPEW,NY,14043,Y,42.880888,-78.696851,POINT (-78.696851 42.880888)
113700,BP PRODUCTS N.AMERICA #48441,1705 RICHMOND AVE.,STATEN ISLAND,NY,10314,,40.606974,-74.161699,POINT (-74.161699 40.606974)
113699,BP PRODUCTS N.AMERICA #20951,218-01 NORTHERN BLVD,BAYSIDE,NY,11361,,40.761623,-73.763744,POINT (-73.763744 40.761623)
113697,HOGANS TAVERN,42 OLD SCHUYLERVILLE RD,GREENWICH,NY,12834,Y,43.10016,-73.57003,POINT (-73.57003 43.10016)
113696,SALINA EXPRESSWAY CORP,680 S SALINA ST,SYRACUSE,NY,13202,,43.041,-76.151322,POINT (-76.151322 43.041)
113692,WOODY'S GOODY'S,695 MAIN ST,FARMINGDALE,NY,11735,,40.723476,-73.441683,POINT (-73.441683 40.723476)
113690,SARATOGA DELI & GROCERY CORP,161 SARATOGA AVE,BROOKLYN,NY,11233,,40.681499,-73.916659,POINT (-73.916659 40.681499)
113689,OASIS DELI INC,338 WILSON AVE,BROOKLYN,NY,11221,,40.695712,-73.917146,POINT (-73.917146 40.695712)
113687,ZAZAS OF BROOKLYN INC,3602 NOSTRAND AVE,BROOKLYN,NY,11229,,40.596361,-73.941331,POINT (-73.941331 40.596361)
113684,7-ELEVEN #15869J,840 MAPLE RD,BUFFALO,NY,14221,,42.991653,-78.756084,POINT (-78.756084 42.991653)
113682,AMG RETAIL1 LLC AMG #10552,422 GRAMATAN AVENUE,MOUNT VERNON,NY,10552,,40.921759,-73.837252,POINT (-73.837252 40.921759)
113681,THE CHECK CASHING PLACE #31,189 BROAD STREET,STATEN ISLAND,NY,10304,,40.624302,-74.08033,POINT (-74.08033 40.624302)
113680,STEPHENS FAMILY BROCKPORT BOWL,4660 LAKE RD S,BROCKPORT,NY,14420,Y,43.2024,-77.941915,POINT (-77.941915 43.2024)
113677,SMOKES 4 LESS,4288 ALBANY POST RD UNIT 3,HYDE PARK,NY,12538,Y,41.784774,-73.931822,POINT (-73.931822 41.784774)
113673,JLT3 LLC,3208 LATTA RD,ROCHESTER,NY,14612,Y,43.254292,-77.699645,POINT (-77.699645 43.254292)
113670,KD APPLE FOODS,800 WOLF ST,SYRACUSE,NY,13208,,43.077235,-76.159512,POINT (-76.159512 43.077235)
113666,WEBSTER RX INC,753 E TREMONT AVE,BRONX,NY,10457,,40.844871,-73.88911,POINT (-73.88911 40.844871)
113664,31ST AVENUE GROCERY & 99 CENT,80-05 31ST AVE,EAST ELMHURST,NY,11370,,40.759458,-73.887636,POINT (-73.887636 40.759458)
